2026-03-02 16:17:26,824 - DEBUG - URL: https://restful-booker.herokuapp.com/auth | Status: 200 | Body: {"token":"53caf78dd9ce091"}
2026-03-02 16:17:28,346 - DEBUG - URL: https://restful-booker.herokuapp.com/auth | Status: 200 | Body: {"reason":"Bad credentials"}
2026-03-02 16:17:29,881 - DEBUG - URL: https://restful-booker.herokuapp.com/booking | Status: 200 | Body: {"bookingid":3288,"booking":{"firstname":"John","lastname":"Doe","totalprice":100,"depositpaid":true,"bookingdates":{"checkin":"2024-01-01","checkout":"2024-01-05"},"additionalneeds":"Breakfast"}}
2026-03-02 16:17:31,115 - DEBUG - URL: https://restful-booker.herokuapp.com/booking | Status: 200 | Body: {"bookingid":3300,"booking":{"firstname":"Jane","lastname":"Smith","totalprice":150,"depositpaid":false,"bookingdates":{"checkin":"2024-02-01","checkout":"2024-02-05"},"additionalneeds":"Breakfast"}}
2026-03-02 16:17:32,750 - DEBUG - URL: https://restful-booker.herokuapp.com/booking/3300 | Status: 200 | Body: {"firstname":"Jane","lastname":"Smith","totalprice":150,"depositpaid":false,"bookingdates":{"checkin":"2024-02-01","checkout":"2024-02-05"},"additionalneeds":"Breakfast"}
2026-03-02 16:17:34,187 - DEBUG - URL: https://restful-booker.herokuapp.com/booking | Status: 200 | Body: {"bookingid":3329,"booking":{"firstname":"John","lastname":"Doe","totalprice":100,"depositpaid":true,"bookingdates":{"checkin":"2024-01-01","checkout":"2024-01-05"},"additionalneeds":"Breakfast"}}
2026-03-02 16:17:35,723 - DEBUG - URL: https://restful-booker.herokuapp.com/auth | Status: 200 | Body: {"token":"ee9c147f8fe5bd0"}
2026-03-02 16:17:37,155 - DEBUG - URL: https://restful-booker.herokuapp.com/booking/3329 | Status: 200 | Body: {"firstname":"UpdatedJohn","lastname":"UpdatedDoe","totalprice":200,"depositpaid":false,"bookingdates":{"checkin":"2024-03-01","checkout":"2024-03-05"},"additionalneeds":"Lunch"}
2026-03-02 16:17:38,484 - DEBUG - URL: https://restful-booker.herokuapp.com/booking | Status: 200 | Body: {"bookingid":3364,"booking":{"firstname":"Alice","lastname":"Brown","totalprice":120,"depositpaid":true,"bookingdates":{"checkin":"2024-01-01","checkout":"2024-01-05"},"additionalneeds":"Breakfast"}}
2026-03-02 16:17:39,995 - DEBUG - URL: https://restful-booker.herokuapp.com/auth | Status: 200 | Body: {"token":"2fbdf8400b6a16b"}
2026-03-02 16:17:41,251 - DEBUG - URL: https://restful-booker.herokuapp.com/booking/3364 | Status: 200 | Body: {"firstname":"Alicia","lastname":"Brown","totalprice":250,"depositpaid":true,"bookingdates":{"checkin":"2024-01-01","checkout":"2024-01-05"},"additionalneeds":"Breakfast"}
2026-03-02 16:17:42,446 - DEBUG - URL: https://restful-booker.herokuapp.com/booking | Status: 200 | Body: {"bookingid":3397,"booking":{"firstname":"Bob","lastname":"Wilson","totalprice":180,"depositpaid":true,"bookingdates":{"checkin":"2024-01-01","checkout":"2024-01-05"},"additionalneeds":"Breakfast"}}
2026-03-02 16:17:43,815 - DEBUG - URL: https://restful-booker.herokuapp.com/auth | Status: 200 | Body: {"token":"82c72a1bb6ece6e"}
2026-03-02 16:17:45,147 - DEBUG - URL: https://restful-booker.herokuapp.com/booking/3397 | Status: 201 | Body: Created
2026-03-02 16:17:46,778 - DEBUG - URL: https://restful-booker.herokuapp.com/booking | Status: 200 | Body: {"bookingid":3430,"booking":{"firstname":"Charlie","lastname":"Davis","totalprice":130,"depositpaid":false,"bookingdates":{"checkin":"2024-01-01","checkout":"2024-01-05"},"additionalneeds":"Breakfast"}}
